context_id	word	gold_sense_id	predict_sense_id	positions	context
141	балка	1	3	90-94	маленькой комнаты. Он был очень высок, наклонил голову, словно подпирая плечом потолочную балку, посмотрел на Сьянову серьезными черными глазами. -- Я из Москвы. Буду испытывать здесь
142	балка	1	4	69-73	Пантюхин в Склифе сейчас. Он выползти на улицу успел, а на Золоткова балка обрушилась. Эх, душой компании парень был! 28-летний Геннадий так и не
143	балка	1	1	115-121	равнозначно обеспечивает и меланхоличную езду. Цельнометаллическое тело, усиленное передними и задними поперечными балками, наряду с работой подвески превращает машину в глыбу, всей плоскостью вросшую в
144	балка	1	3	85-90	верхняя часть закрыта, замкнута, многократно обрамлена и в конце концов, как тяжёлой балкой, придавлена широким многоступенчатым карнизом. Роль архитектурных небес выполняет здесь не лёгкая, стрельчатая,
145	балка	1	4	66-70	по телевизору: наши гол забили, я вскочил от радости и врезался в балку, поскольку дело было в низенькой мансарде. Но ни в коем случае не
146	балка	1	3	77-81	вы взглянете на стену нашего театра возле ЦУМа, то увидите торчащие железные балки— это стяжки, которые пронзают здание насквозь. Идешь по коридору и натыкаешься на
147	балка	1	1	85-89	плите приварены стойки 13, на которых смонтирована дисковая батарея 6. На продольной балке 14 рамы 7 смонтирован кронштейн 15 с вертикальной регулировочной тягой 16, на
148	балка	1	3	57-61	засунуть свой сверток? Да в одни и те же места: либо под балки, либо под изгиб печной трубы... В квартирах - это почти всегда печной дымоход
149	балка	1	1	100-104	активно шла работа по переработке металлолома, который затем используется для изготовления арматуры,балок и труб. Генеральный директор «Укрметалла» Анатолий Колесник заявлял, что переработка металлолома из
150	балка	1	3	101-106	основания, находится место, где частенько собираются подростки – рисунки граффити, пошлые надписи на балках и несущей опоре, банки пива... Вверху, под самым сводом, надпись «Ц... Артем
151	балка	1	3	97-101	ценим историческую архитектуру и бережно подходим ко всем материалам: собираем старые деревянные балки, чугунные колонны, кирпичи. Все это интегрируется в здание», — отмечает Александр Подусков, директор
152	балка	1	1	90-95	деле следствие перехода к конкурентном рынку. По вагонам, по колесным парам, надрессорным балкам и т.д. сегодня уже есть несколько покупателей, но в ряде случаев
153	балка	1	1	103-107	доме, упакованы все проблемы современной биохимии, биофизики, цитологии, фармакологии... Те же опорные балки-- мембраны, те же лифты -- ионные каналы клеток, те же входные двери -- рецепторы,
154	балка	1	3	74-78	, удары колёс о стыки рельсов стали звонче , и мимо окна понеслись ржавые балки моста , за которыми была видна широкая голубая полоса неизвестной реки . 8
155	балка	1	4	90-94	. Глушков работал с безумным исступлением , и только безумие помогло ему ворочать тяжёлые балки, совершить работу , которая была бы по силам десятерым . Берёзкин снова увидел неприглядный
156	балка	1	4	80-84	!.. Дрок упорно таскал к месту, облюбованному им для своей постройки, то старые балки, то стропила, то доски… Наконец, завел тачку и начал издалека привозить дикий
157	балка	1	4	97-101	-Рига, через реку Вазуза, местный житель, спустившийся прополоскать белье, увидел подвешенное на балке тело неизвестного парня и вызвал полицию. - Подросток покончил жизнь самоубийством через повешенье
158	балка	1	1	82-86	при чем. Основной на сегодня является версия, что причиной аварии стало обрушение балки перекрытия в связи с «усталостью металла».
159	балка	1	3	94-98	видно небо. Есть дома, особенно небольшие, с раскрошившейся крышей, из-под которой обрушились балки и доски. Они косо повисли, и кажется -- они все еще рушатся, вечно
160	балка	1	3	63-69	на Пресне ломали старинный дом: с третьего яруса с ней упал, с балками рухнулся, а опустило безо вреда, ни царапины! Еще -- Спаситель, тоже очень старинный, «
161	балка	1	3	80-85	, лазил на горящие здания; огнем опалило ему волосы; едва не задавило рухнувшей балкою. Помогая вытаскивать убогие пожитки бедняков из подвальных жилищ, стоял по пояс в
162	балка	1	1	64-68	-- Добавить балку ко второму концу балки E 1 и ко второму концу балки E 2 ; * Add Beam E1 F -- Добавить балку к первому концу балки
163	балка	1	3	91-95	при надобности и битая бутылка . Жёлтая электролампа под колпаком свешивалась с деревянной балки, как самоубийца . Свет её то тускнел , то разгорался -- вместо движков на электростанции
164	балка	1	3	78-82	во весь рост только в таком случае, если предварительно позаботился отойти от балки и стать в самом глубоком месте пола. Кроме грубых скамей, стола и
165	балка	1	3	74-78	Э.Г.Отиса. Небоскреб состоит из фундамента, стального каркаса из колонн и балок над землей и стен на завесах, прикрепленных к балкам. В этом небоскребе
166	балка	1	3	64-69	из колонн и балок над землей и стен на завесах, прикрепленных к балкам. В этом небоскребе основную нагрузку несет стальной каркас, а не стены. Эту
167	балка	1	1	92-96	"мины. По словам губернатора, такой вывод можно сделать из-за ""разрушения основной титановой балки. В практике крушений самолетов такого еще не было. А потому есть большая"
168	балка	1	3	69-75	домов – полностью снесен шифер с крыш, с одного дома снесена крыша с балками, в местном детском саду повреждено 20% кровли и частично были выбиты стекла.
169	балка	1	3	94-98	, едва озарявшими взволнованные лица. При их трепетном свете можно было разглядеть деревянные балки под крышей и наивную роспись на стенах: доброго пастыря с овцой на
170	балка	1	4	93-97	мимо Гашека. Талисман «Металлурга» лисенок что есть силы колотит в подвешенную металлическую балку(это такое ноу-хау в Магнитогорске, вместо паровозного гудка), а герой утопает в
171	балка	1	4	79-83	Лужкова! Будьте любезны, доложите мэру о проекте профессора. Денег на стойки и балки для детей надо немного. Может быть, даже меньше, чем на памятник Петру
172	балка	1	1	86-90	таких случаях часто наступает тот самый «реактивный момент», когда задний винт сносит балку. Экипаж до конца пытался посадить ушедшую «вразнос» машину. Почему я делаю такой
173	балка	1	3	78-82	стене. Потолка над башней не было, он давно обвалился, лишь одна полусгнившая балка, как пушка, торчала из каменной стены. В этой толстой замшелой стене были
174	балка	1	4	80-84	... Я не хочу делать никаких официальных заявлений, но если бы действительно та балка взорвалась, самолет бы развалился прямо в воздухе на мелкие куски. Дело в
175	балка	1	3	85-89	Цветаевой, «она висела невысоко над полом, на гвозде, вбитом в поперечную потолочную балку, на тонком крепком шнуре». Причин гибели Марины Цветаевой множество, они постепенно подбирались
176	балка	1	1	56-60	E 1 и к свободному узлу F ; * Add Beam E2 F -- Добавить балку ко второму концу балки E 1 и к свободному узлу F . Параметры
177	балка	1	3	92-97	окон зияли франтоватые прежде, в арабском стиле городские купальни. Стоявшую на двутавровых балках в самом море деревянную кофейню, вычурно раскрашенную и носившую шутливое название «Поплавок»,
178	балка	1	3	92-96	вместе с плотниками -- обычай назывался «окладно». Когда стены срубят и проложат потолочные балки, матицы, опять плотникам угощенье: «матешно». А крышу тесом закроют, да сверху князево
179	балка	1	3	72-77	точить колесные бандажи и надевать оси. Старая грязь и копоть висела на балках махрами, пахло сыростью и мазутом, разреженный свет осени мертво сиял на механизмах.
180	балка	1	3	73-78	которого они выбили золотые зубы. Теперь не найти консервов, но много по балкам и по канавам ржавых жестянок, свистящих дырьями на ветру. Одуревшие от вина,
181	балка	1	1	111-115	он. – Наши эксперты установили причину аварии – брак металлоконструкций. Была нарушена технология изготовления балки, несущей покрытие здания». Специалисты «Городского центра экспертиз» видят в этом факте начальную
182	балка	1	1	94-98	светлые тона, выделяя кирпичный цоколь, подчеркивая линию крыши и умеренно оттеняя деревянные балки.
183	балка	1	3	86-90	посуда. Во Франции материалы берут прямо у природы: грубые каменные стены, деревянные балки потолка, керамическая и деревянная посуда. В России популярны и «Англия», и «Франция»,
184	балка	1	3	107-111	. По словам Серебренникова, там «катастрофа на катастрофе»: протекает крыша, старые коммуникации, сгнившие балки. Но пока реконструкция коснется только зала, который будет превращен в универсальный зал-
185	балка	1	3	93-97	просторном гулком плохо освещенном здании уже вовсю снуют строители, лежат огромные железные балки, слышны удары инструментов и скрежет машины для сварки. Маэстро даже немного растерялся,
186	балка	1	3	80-85	закрутились, свились в сизом и черном дыму, устремляясь на потолок, к смолистым балкам истопки. Она уже задыхалась от дыма и плотнее прижалась к прохладному земляному
187	балка	1	1	85-89	долл. Американцы же любят вспоминать уже ставшую легендой в авиационных кругах «нашу балку»: с этого года все поперечные балки – основа для шасси – для самолетов семейства
188	балка	1	1	103-107	свободно делать перепланировку, переставляя перегородки внутри квартир. Но при этом нельзя затрагивать балки каркаса, расположенные под потолком, и колонны (см. схемы). СЕРИЯ: 1-335 (
