	context_id	word	gold_sense_id	predict_sense_id	positions	context
0	87	дар	1	1	18-22	Отвергнуть щедрый дар
1	88	дар	1	1	21-28	покупать преданность дарами и наградами
2	89	дар	1	1	19-23	Вот яд – последний дар моей Изоры
3	90	дар	1	1	81-87	Основная функция корильных песен – повеселить участников свадьбы и побудить их к дарам
4	91	дар	1	1	151-157	Но недели две спустя (Алевтина его когда-то об этом просила) он отправляет ей с рабочими изящный шкафчик, счет, конечно, приложен – никаких, извините, даров
5	92	дар	1	1	95-99	Мать Ревекки приберегала кусок и на праздник пекла для калеки любимое блюдо, сияя от гордости: дар беднейшему – бедных богатство
6	93	дар	1	1	205-210	Время от времени Лидия Михайловна «доставала» нам – то штаны, то пресловутый шкаф. Мне не хотелось чувствовать себя у нее в долгу, но надо было быть благодарным: все это и вправду было нам нужно, хотя все дары мне делались без спросу
7	94	дар	1	1	80-84	Недавно приезжавший в Оргеев посол РФ в Молдавии Павел Петровский передал школе дар правительства Москвы – учебники
8	95	дар	2.1	2.1	18-22	Жизнь – бесценный дар
9	96	дар	2.1	2.1	25-29	Такая любовь – настоящий дар судьбы
10	97	дар	2.1	2.1	18-23	Неисчислимы Божии дары
11	98	дар	2.1	2.1	0-4,15-19	Дар напрасный, дар случайный, / Жизнь, зачем ты мне дана?
12	99	дар	2.1	2.1	70-75	Господа, – воскликнул я вдруг от всего сердца, – посмотрите кругом на дары Божии: небо ясное, воздух чистый, травка нежная
13	100	дар	2.1	2.1	82-87	Слишком многого она ожидала, слишком многого требовала от жизни, которая скупа на дары
14	101	дар	2.1	2.1	67-71	То, что выглядит как наша жертва Ему, в высшей реальности есть Его дар нам
15	102	дар	2.1	2.1	36-40	Смерть любимых, дорогих людей – это дар, который помогает понять то важное, для чего мы здесь
16	103	дар	2.1	2.1	31-35,112-116	Пенсия – это просто счастливый дар судьбы, – продолжал Сергей Николаевич, нимало не понимая, что это никакой не дар, а просто заработанное им расчетливо утаено государством
17	104	дар	2.1	2.1	81-88	С каждым годом множилось число тех, кто любил пострелять и попользоваться дичью, дарами природы к почти голодному столу
18	105	дар	2.1	2.1	36-41	Труд тысяч и тысяч мастеров, лучшие дары земли, стояли, лежали и висели перед ним
19	106	дар	2.1	2.1	103-108	Так наш завтрак еще в Лагуне? – В этом вся прелесть! – воскликнула Наташа. – Прямо из воды – свежайшие дары моря!
20	107	дар	2.1	2.1	43-49	В те времена охота, рыболовство, собирание даров леса, в том числе и грибов, было не забавой […], но бытом, повседневностью, жизнью
21	108	дар	2.1	2.1	0-5	Дары тайги выменивались на продукты морского промысла
22	109	дар	2.1	2.1	91-97	Один за другим беспрерывно шлепаются в лодку золотистые караси. […] Прохор привык к щедрым дарам Угрюм-реки и не удивляется
23	110	дар	2.3	2.3	0-4	Дар оратора
24	111	дар	2.3	2.3	20-24	У нее с детства был дар передразнивать знакомых
25	112	дар	2.3	2.3	128-132	Писатель не творит ее [литературу], а как бы исполняет, улавливая сигналы. Чувствительность к такого рода сигналам и есть Божий дар
26	113	дар	2.3	2.3	71-77	Потому-то он и оказался не сломленным до конца своих дней, что обладал даром хороших крестьян и больших художников – извлекать удовольствие из самой работы, а не ждать ее часто обманчивых плодов
27	114	дар	2.3	2.3	82-86	Так, начиная с этого дня, открылся у Павла Алексеевича этот странный, но полезный дар. Он называл его про себя «внутривидением»
28	115	дар	2.3	2.3	55-61	Считалось, что Андрей Иванович обладает необыкновенным даром «выведывать мысли»
29	116	дар	2.3	2.3	8-12	Ученому дар рассказчика, казалось бы, без нужды, а у него он каким-то образом входил в его научный талант
30	117	дар	2.3	2.3	15-20,37-43	Когда выносили дары и их подводили к дарам, тотчас «беснование» прекращалось и больные […] успокаивались
31	118	дар	2.3	2.3	104-111	В конце была приписка, что священник приехал, исповедовал больную глухою исповедью и приобщил запасными дарами
32	119	дар	2.3	2.3	55-62,128-133	Он предупредил меня, что мы заедем в костел за святыми дарами для причащения умирающего и что с человеком, который везет святые дары, нельзя разговаривать
33	120	дар	2.3	2.3	46-52	Как я могу служить обедню? У меня ведь нет ни даров, ни епитрахили
34	121	дар	2.3	2.3	55-62	Поднимешь глаза – на амвоне стоит священник со святыми Дарами, и чудится, скорбный свет идет от чаши
35	122	дар	2.3	2.3	127-134	Джованни хотелось, чтобы с ним повторилось чудо, о котором говорил Савонарола, – чтобы огненные лучи, выйдя из чаши со Святыми Дарами, выжгли в теле его, как раскаленное железо, крестные раны
36	143	двигатель	1	1	0-10	Двигатель взревел, и машина резко рванулась с места
37	144	двигатель	1	1	10-20	Если один двигатель откажет, остальные дотянут самолет до места посадки
38	145	двигатель	1	1	56-66	Страховать придется все транспортные средства с объемом двигателя более 50 куб. см
39	146	двигатель	1	1	38-48	Мы шли очень медленно, потому что наш двигатель работал лишь в четверть силы
40	147	двигатель	1	1	27-38	По тому, как изменился рев двигателей, я догадался, что заработала вторая ступень
41	148	двигатель	1	1	36-46	Двери сошлись, где-то внизу загудел двигатель. – Хоть лифт не исковеркан, – вздохнул Николай Васильевич
42	149	двигатель	2	2	7-17	Труд – двигатель культуры
43	150	двигатель	2	2	8-18	Наука – двигатель прогресса
44	151	двигатель	2	2	10-20	Реклама – двигатель торговли
45	152	двигатель	2	2	57-67	Он откроет тебе широкий кредит, а кредит, братец ты мой, двигатель торговли и коммерции
46	153	двигатель	2	2	30-40	В общем, злость, Сеня, лучший двигатель дела
47	154	двигатель	2	2	9-19	Основной двигатель был не страх, а иные силы – долг, разум, совесть
48	155	двигатель	2	2		Однажды ключик
49	156	двигатель	2	2	40-50	сказал мне, что не знает более сильного двигателя творчества, чем зависть
50	157	двигатель	2	2	58-68	Всеобщее преследование влиятельных стариков (принцип да и двигатель нынешней общественной жизни) казалось старику-вахтеру логичным
51	207	двойник	1.1	1.1	47-56	Говорят, что у многих известных политиков есть двойники
52	208	двойник	1.1	1.1	25-35	Говорят, что на конкурсе двойников Чарли Чаплина сам Чаплин занял лишь третье место
53	209	двойник	1.1	1.1	105-114	Похитить чертежи и аппарат не удалось, потому что бездельники, нанятые Семеновым, убили не Гарина, а его двойника
54	210	двойник	1.1	1.1	22-30	Поговаривали, что это двойник Зыкиной под фонограмму рот открывает
55	211	двойник	1.1	1.1	8-16	Где тут двойник, а где – подлинный Гитлер?
56	212	двойник	1.1	1.1	138-147	Одним из непременных сигналов для встречи была оставленная в определенном месте машина Огородника. Необходимо было срочно подготовить его двойника, да и его спутницы – Ольги-2
57	213	двойник	1.1	1.1	21-31	Меня знакомят с моим двойником – болгарским артистом; мы смотрим друг на друга и жутко хохочем
58	214	двойник	1.2	1.2	6-15	Фирмы-двойники
59	215	двойник	1.2	1.2	6-15	сайты-двойники
60	216	двойник	1.2	1.2	55-66	Автомобильные номера на машинах преступников оказались двойниками реальных номеров
61	217	двойник	1.2	1.2	161-171	Крупная лос-анджелесская парфюмерная компания резонно указывает на то, что производит и продает парфюм под названием Glow еще с 1999 года и не намерена терпеть «двойников»
62	218	двойник	1.2	1.2	62-73	Согласно этой версии, предложенные к продаже векселя являются двойниками сожженных
63	219	двойник	1.2	1.2	52-62	У официального сайта Мосгордумы появилось несколько двойников: на подставных адресах бесследно исчезают депутатская почта и запросы граждан
64	220	двойник	1.2	1.2	50-60	Сейчас закон предусматривает санкции в отношении «двойников» лишь в том случае, если наименования […] копируются полностью
65	221	двойник	2	2	11-19	Лирический двойник – зеркало автора
66	222	двойник	2	2	33-43	Для Достоевского была важна тема двойников
67	223	двойник	2	2	7-16	Своего двойника видел в галлюцинаторных переживаниях Гете
68	224	двойник	2	2	133-143	Лужин, томно рассеянный по комнате, спит, а Лужин, представляющий собой шахматную доску, бодрствует и не может слиться со счастливым двойником
69	225	двойник	2	2	95-106	Британский физик Стивен Хоукинг полагает: «Имеется бесконечное множество вселенных, являющихся двойниками нашей Вселенной»
70	226	двойник	2	2	44-52	Лифт медленно полз вверх – сумеречный лифт, двойник обычного, по-прежнему стоявшего на первом этаже
71	227	двойник	3	3	31-39	Зорге был разоблачен как агент-двойник
72	228	двойник	3	3	96-105	Не менее многих в ГРУ разъярены они были мягкостью понесенного Луковым наказания и через агента-двойника допустили утечку
73	229	двойник	3	3	26-36	«Сдвоился» – значит «стал двойником», работает на нас и на противника, дезинформирует
74	230	двойник	3	3	42-50	Был осторожен, как профессиональный шпион-двойник
75	231	двойник	3	3	142-152	Руська […] согласился быть стукачом из любви к спорту, из желания изучить методы МГБ и выявить подлинных стукачей. […] Руську постигла судьба двойников. Об игре его по-прежнему никто не донес, но его стали сторониться
76	264	дворец	1	1	8-15	Царский дворец
77	265	дворец	1	1	0-7,30-37	дворец патриархаЭто настоящий дворец!
78	266	дворец	1	1	60-67	Когда семеро знатнейших вельмож империи подъехали к воротам дворца, никому из часовых даже в голову не пришло расспрашивать их о чем бы то ни было
79	267	дворец	1	1	72-80	Огромный, напоминающий лоскутное одеяло стяг республики развевается над дворцом правителя
80	268	дворец	1	1	26-34	Ханское величие мраморных дворцов сменилось глинобитным пригородом
81	269	дворец	1	1	19-26	На экране мелькали дворцы и хижины какой-то страны контрастов, мягкий голос за кадром рассказывал про латифундии и олигархии
82	270	дворец	1	1	18-25	Ему казалось, что дворец непременно должен быть сложен из цельных мраморных глыб, увенчан золоченым куполом и шпилем, а этот в принципе не отличался от любого дома на Невском, разве что был шире и стоял на виду
83	271	дворец	2	2	0-7	Дворец бракосочетаний
84	272	дворец	2	2	0-7	Дворец спорта
85	273	дворец	2	2	0-7	Дворец пионеров и школьников
86	274	дворец	2	2	79-86	В первый день после новогодних праздников Дмитрий с Юлькой подали заявление во Дворец бракосочетаний
87	275	дворец	2	2	53-60	планах академии есть даже строительство собственного дворца кинематографии
88	276	дворец	2	2	13-20	Огромный зал Дворца молодежи на Комсомольском проспекте забит был до отказа
89	388	девятка	1.1	1.1	0-8	Девятка – нечетное число
90	389	девятка	1.1	1.1	13-21	поставить на девятку
91	390	девятка	1.1	1.1	8-18	считать девятками
92	391	девятка	1.1	1.1	146-154	Число «семь» указывает скорее на то, что интересующая вас фраза имеет исламское происхождение. Точнее, арабское. Турки и татары отдают первенство девятке
93	392	девятка	1.1	1.1	0-8	Девятка в оккультных науках – это полный путь, от начала до самого конца. […] Это полный круг в 360 градусов (3+6+0=9)
94	393	девятка	1.2	1.2	22-30	В город звонят через «девятку»
95	394	девятка	1.2	1.2	43-51	Надо рисовать концом шпаги не восьмерку, а девятку
96	395	девятка	1.2	1.2	96-104	Завесил руку над нулем, потом опустил и подставил под нулем аккуратную черную лапку. Получилась девятка
97	396	девятка	1.2	1.2	98-106	В одном варианте записи, начиная со второй цифры после запятой, идут одни нули, а в другом – одни девятки
98	397	девятка	1.2	1.2	42-50,90-99	А скорее всего надо набрать перед номером девятку – обычно она дает выход в город, но и с девяткой ничего не получается
99	398	девятка	1.2	1.2	94-102	Отец, следя за дорогой, каждый раз пропускает тот момент, когда на его спидометре сразу много девяток заменяется многими нулями
100	399	девятка	2	2	0-8	Девятка сильнейших игроков
101	400	девятка	2	2	11-19	Он вошел в девятку высших руководителей Китая
102	401	девятка	2	2	94-102	А на опушке леса стояли на привязи девять жертвенных кобылиц, девять жертвенных быков, девять девяток жертвенных овец на поминальную тризну
103	402	девятка	2	2	0-8	Девятка реактивных истребителей – три звена в строю «клин» – с огромной скоростью ринулась из заоблачных высот к земле
104	403	девятка	2	2	48-56	Да и женский турнир […] вошел в «супердевять» – девятку крупнейших турниров в мире!
105	404	девятка	2	2	135-143	Развивая свою концепцию мироустройства, Европа заговаривает о включении Китая в Большую восьмерку, которая превратится таким образом в Девятку
106	405	девятка	2	2	63-71	А этот потенциал был, как известно, сосредоточен в знаменитой «девятке» – девяти союзных министерствах ВПК
107	406	девятка	3.1	3.1	33-41	У меня остались валет, десятка и девятка
108	407	девятка	3.1	3.1	28-36	В этой игре старшая карта – девятка
109	408	девятка	3.1	3.1	30-38	Он стал метать. Направо легла девятка, налево тройка
110	409	девятка	3.1	3.1	12-20	У него была девятка, у банкомета восемь
111	410	девятка	3.1	3.1	47-55,82-90	Фил смахнул рукой пот со лба и открыл карту. – Девятка! – воскликнул он. – У меня девятка! Это же «стрит»!
112	411	девятка	3.2	3.2	15-23	Стали играть в девятку
113	412	девятка	3.2	3.2	2-10	В девятку мне вечно не везет
114	413	девятка	3.2	3.2	110-118	Нестор Иванович, как только вошли гости, не встав даже от стола, не подав руки, предложил было перекинуться в девятку на интерес
115	414	девятка	3.2	3.2	58-66	Бабушка с дядей Юрой говорили и говорили, потом играли в «девятку», обучив к неудовольствию папы простенькой карточной игре и Колюню
116	415	девятка	3.2	3.2	40-48	– Сто не сто, а пятьдесят выиграли. – В девятку? – На облигацию, принадлежащую автомобильному клубу
117	416	девятка	3.3	3.3	12-20	Восьмерка и девятка – разновидности бильярда
118	417	девятка	3.3	3.3	26-34	В Москве прошел турнир по девятке
119	418	девятка	3.3	3.3	0-8	Девятка отличается от предыдущей игры тем, что в ней используют только девять нумерованных от 1 до 9 шаров и биток
120	419	девятка	3.3	3.3	75-83	Мужчины составляли табель о рангах в менее известной разновидности пула – «девятке»
121	420	девятка	4.1	4.1	40-48	У подъезда припаркована чья-то вишневая девятка
122	421	девятка	4.1	4.1	16-24	Прошли уже две «девятки», а семнадцатый все не шел
123	422	девятка	4.1	4.1	43-51	Хлебный фургон доставил мешки к остановке «девятки» у 10-го хлебозавода
124	423	девятка	4.1	4.1	1-9	«Девятка» – это был дом, в котором помещался гастрономический магазин номер девять
125	424	девятка	4.1	4.1	70-78	Предлагать апологету иномарок купить «Жигули», «Оду» или подержанную «девятку» – пустое дело
126	425	девятка	4.1	4.1	21-29	Постучал пальцем по «девятке» за стеклом витрины, попросил холодной. […] Вспомнил какую-то передачу про пиво, что, дескать, в натуральную девятую «Балтику» подмешивают спирт
127	426	девятка	4.2	4.2	23-31	Игрок отправляет мяч в девятку
128	427	девятка	4.2	4.2	31-39	Гол был эффектно забит прямо в девятку
129	428	девятка	4.2	4.2	30-38	Шайба влетела точно в правую «девятку» ворот финской команды
130	429	девятка	4.2	4.2	81-89	Победный гол в матче забил капитан хозяев Егор Титов, мастерски положивший мяч в девятку после паса Никиты Баженова
131	430	девятка	4.3	4.3	25-33	Полковник дважды попал в девятку и один раз в десятку
132	431	девятка	4.3	4.3	58-66	Стрелок разрядил в мишень обойму и несколько раз попал в «девятку»
133	432	девятка	4.3	4.3	43-51	Я стал мазать, я уже не в «десятку» или в «девятку» всаживал пули, а с разбросом по всему кругу мишени
134	433	девятка	4.3	4.3	108-116	Количество баллов для спортсменов стали начислять в зависимости от сектора попадания в пределах «десятки», «девятки», «восьмерки» и так далее
135	434	девятка	4.3	4.3	75-83	Дебютант взрослого чемпионата мира 19-летний Азаренко попал в «десятку» и «девятку» и занял четвертое место
136	457	дедушка	1	1	18-27	В деревне ходил с дедушкой на рыбалку
137	458	дедушка	1	1	0-8	Дедушки у него не было
138	459	дедушка	1	1	32-40	На этом же кладбище, кажется, и дедушка похоронен
139	460	дедушка	1	1	121-129	Если Лёва станет играть в школьном джазе, ему это может понравиться: ведь у него такая опасная наследственность по линии дедушки
140	461	дедушка	1	1	60-68	Витальку любили оба родителя, две бабушки, прабабушка и два дедушки
141	462	дедушка	2	2	8-16	Смотри, дедушка вошел, уступи ему место
142	463	дедушка	2	2	16-24	На первом этаже дедушка живет, родственников у него нет, мы заходим, помогаем
143	464	дедушка	2	2	21-29	А тут к нему подошел дедушка совсем седенький и стал говорить: «Гриша, вы нас всех защищаете, это хуже убийства, почему рабоче-крестьянская власть такое против крестьянства делает, чего царь не делал…»
144	465	дедушка	2	2	90-98	Дед Иван вскоре был поднят медсестрой, которая проверила его пульс, давление и сказала: – Дедушка, не болей. Питаться надо лучше, и всё
145	466	дежурная	1	1	43-52	Если вам что-то понадобится, обращайтесь к дежурной
146	467	дежурная	1	1	0-9	Дежурная распоряжается, кому в каком порядке выступать
147	468	дежурная	1	1	13-22	Я в пансионе дежурной была в кухне – изжарила начальнице котлету из жеваной бумаги…
148	469	дежурная	1	1	8-17	Видимо, дежурная поняла, что отец в предынфарктном состоянии – «скорая» приехала через десять минут
149	470	дежурная	1	1	5-14	Пока дежурная готовила маршрут, Борзов привел маневровый тепловоз в движение
150	471	дежурная	1	1	51-60	В ресторане играла радиола, то и дело прерывая ее, дежурная объявляла посадку: Ташкент, Алма-Ата…
151	472	дежурная	2	2	48-57	К вечеру в институте оставались лишь уборщица и дежурная
152	473	дежурная	2	2	23-32	Около турникетов будка дежурной
153	474	дежурная	2	2	76-85	Елизавета Максимовна записала в журнал, что в полулюксе живут двое, и новая дежурная, сидящая на посту на третьем этаже, ничего у Насти не спросила, только проводила ее недоброжелательным взглядом
