context_id	word	gold_sense_id	predict_sense_id	positions	context
1	балка	1		90-95	маленькой комнаты. Он был очень высок, наклонил голову, словно подпирая плечом потолочную балку, посмотрел на Сьянову серьезными черными глазами. -- Я из Москвы. Буду испытывать здесь
2	балка	1		69-74	Пантюхин в Склифе сейчас. Он выползти на улицу успел, а на Золоткова балка обрушилась. Эх, душой компании парень был! 28-летний Геннадий так и не
3	балка	1		115-122	равнозначно обеспечивает и меланхоличную езду. Цельнометаллическое тело, усиленное передними и задними поперечными балками, наряду с работой подвески превращает машину в глыбу, всей плоскостью вросшую в
4	балка	1		85-91	верхняя часть закрыта, замкнута, многократно обрамлена и в конце концов, как тяжёлой балкой, придавлена широким многоступенчатым карнизом. Роль архитектурных небес выполняет здесь не лёгкая, стрельчатая,
5	балка	1		66-71	по телевизору: наши гол забили, я вскочил от радости и врезался в балку, поскольку дело было в низенькой мансарде. Но ни в коем случае не
6	балка	1		77-82	вы взглянете на стену нашего театра возле ЦУМа, то увидите торчащие железные балки— это стяжки, которые пронзают здание насквозь. Идешь по коридору и натыкаешься на
7	балка	1		85-90	плите приварены стойки 13, на которых смонтирована дисковая батарея 6. На продольной балке 14 рамы 7 смонтирован кронштейн 15 с вертикальной регулировочной тягой 16, на
8	балка	1		57-62	засунуть свой сверток? Да в одни и те же места: либо под балки, либо под изгиб печной трубы... В квартирах - это почти всегда печной дымоход
9	балка	1		100-105	активно шла работа по переработке металлолома, который затем используется для изготовления арматуры,балок и труб. Генеральный директор «Укрметалла» Анатолий Колесник заявлял, что переработка металлолома из
10	балка	1		101-107	основания, находится место, где частенько собираются подростки – рисунки граффити, пошлые надписи на балках и несущей опоре, банки пива... Вверху, под самым сводом, надпись «Ц... Артем
11	балка	1		97-102	ценим историческую архитектуру и бережно подходим ко всем материалам: собираем старые деревянные балки, чугунные колонны, кирпичи. Все это интегрируется в здание», — отмечает Александр Подусков, директор
12	балка	1		90-96	деле следствие перехода к конкурентном рынку. По вагонам, по колесным парам, надрессорным балкам и т.д. сегодня уже есть несколько покупателей, но в ряде случаев
13	балка	1		103-108	доме, упакованы все проблемы современной биохимии, биофизики, цитологии, фармакологии... Те же опорные балки-- мембраны, те же лифты -- ионные каналы клеток, те же входные двери -- рецепторы,
14	балка	1		74-79	, удары колёс о стыки рельсов стали звонче , и мимо окна понеслись ржавые балки моста , за которыми была видна широкая голубая полоса неизвестной реки . 8
15	балка	1		90-95	. Глушков работал с безумным исступлением , и только безумие помогло ему ворочать тяжёлые балки, совершить работу , которая была бы по силам десятерым . Берёзкин снова увидел неприглядный
16	балка	1		80-85	!.. Дрок упорно таскал к месту, облюбованному им для своей постройки, то старые балки, то стропила, то доски… Наконец, завел тачку и начал издалека привозить дикий
17	балка	1		97-102	-Рига, через реку Вазуза, местный житель, спустившийся прополоскать белье, увидел подвешенное на балке тело неизвестного парня и вызвал полицию. - Подросток покончил жизнь самоубийством через повешенье
18	балка	1		82-87	при чем. Основной на сегодня является версия, что причиной аварии стало обрушение балки перекрытия в связи с «усталостью металла».
19	балка	1		94-99	видно небо. Есть дома, особенно небольшие, с раскрошившейся крышей, из-под которой обрушились балки и доски. Они косо повисли, и кажется -- они все еще рушатся, вечно
20	балка	1		63-70	на Пресне ломали старинный дом: с третьего яруса с ней упал, с балками рухнулся, а опустило безо вреда, ни царапины! Еще -- Спаситель, тоже очень старинный, «
21	балка	1		80-86	, лазил на горящие здания; огнем опалило ему волосы; едва не задавило рухнувшей балкою. Помогая вытаскивать убогие пожитки бедняков из подвальных жилищ, стоял по пояс в
22	балка	1		12-17,35-40,64-69,104-109,126-131	-- Добавить балку ко второму концу балки E 1 и ко второму концу балки E 2 ; * Add Beam E1 F -- Добавить балку к первому концу балки
23	балка	1		91-96	при надобности и битая бутылка . Жёлтая электролампа под колпаком свешивалась с деревянной балки, как самоубийца . Свет её то тускнел , то разгорался -- вместо движков на электростанции
24	балка	1		78-83	во весь рост только в таком случае, если предварительно позаботился отойти от балки и стать в самом глубоком месте пола. Кроме грубых скамей, стола и
25	балка	1		74-79,126-132	Э.Г.Отиса. Небоскреб состоит из фундамента, стального каркаса из колонн и балок над землей и стен на завесах, прикрепленных к балкам. В этом небоскребе
26	балка	1		12-17,64-70	из колонн и балок над землей и стен на завесах, прикрепленных к балкам. В этом небоскребе основную нагрузку несет стальной каркас, а не стены. Эту
27	балка	1		92-97	"мины. По словам губернатора, такой вывод можно сделать из-за ""разрушения основной титановой балки. В практике крушений самолетов такого еще не было. А потому есть большая"
28	балка	1		69-76	домов – полностью снесен шифер с крыш, с одного дома снесена крыша с балками, в местном детском саду повреждено 20% кровли и частично были выбиты стекла.
29	балка	1		94-99	, едва озарявшими взволнованные лица. При их трепетном свете можно было разглядеть деревянные балки под крышей и наивную роспись на стенах: доброго пастыря с овцой на
30	балка	1		93-98	мимо Гашека. Талисман «Металлурга» лисенок что есть силы колотит в подвешенную металлическую балку(это такое ноу-хау в Магнитогорске, вместо паровозного гудка), а герой утопает в
31	балка	1		79-84	Лужкова! Будьте любезны, доложите мэру о проекте профессора. Денег на стойки и балки для детей надо немного. Может быть, даже меньше, чем на памятник Петру
32	балка	1		86-91	таких случаях часто наступает тот самый «реактивный момент», когда задний винт сносит балку. Экипаж до конца пытался посадить ушедшую «вразнос» машину. Почему я делаю такой
33	балка	1		78-83	стене. Потолка над башней не было, он давно обвалился, лишь одна полусгнившая балка, как пушка, торчала из каменной стены. В этой толстой замшелой стене были
34	балка	1		80-85	... Я не хочу делать никаких официальных заявлений, но если бы действительно та балка взорвалась, самолет бы развалился прямо в воздухе на мелкие куски. Дело в
35	балка	1		85-90	Цветаевой, «она висела невысоко над полом, на гвозде, вбитом в поперечную потолочную балку, на тонком крепком шнуре». Причин гибели Марины Цветаевой множество, они постепенно подбирались
36	балка	1		56-61,79-84	E 1 и к свободному узлу F ; * Add Beam E2 F -- Добавить балку ко второму концу балки E 1 и к свободному узлу F . Параметры
37	балка	1		92-98	окон зияли франтоватые прежде, в арабском стиле городские купальни. Стоявшую на двутавровых балках в самом море деревянную кофейню, вычурно раскрашенную и носившую шутливое название «Поплавок»,
38	балка	1		92-97	вместе с плотниками -- обычай назывался «окладно». Когда стены срубят и проложат потолочные балки, матицы, опять плотникам угощенье: «матешно». А крышу тесом закроют, да сверху князево
39	балка	1		72-78	точить колесные бандажи и надевать оси. Старая грязь и копоть висела на балках махрами, пахло сыростью и мазутом, разреженный свет осени мертво сиял на механизмах.
40	балка	1		73-79	которого они выбили золотые зубы. Теперь не найти консервов, но много по балкам и по канавам ржавых жестянок, свистящих дырьями на ветру. Одуревшие от вина,
41	балка	1		111-116	он. – Наши эксперты установили причину аварии – брак металлоконструкций. Была нарушена технология изготовления балки, несущей покрытие здания». Специалисты «Городского центра экспертиз» видят в этом факте начальную
42	балка	1		94-99	светлые тона, выделяя кирпичный цоколь, подчеркивая линию крыши и умеренно оттеняя деревянные балки.
43	балка	1		86-91	посуда. Во Франции материалы берут прямо у природы: грубые каменные стены, деревянные балки потолка, керамическая и деревянная посуда. В России популярны и «Англия», и «Франция»,
44	балка	1		107-112	. По словам Серебренникова, там «катастрофа на катастрофе»: протекает крыша, старые коммуникации, сгнившие балки. Но пока реконструкция коснется только зала, который будет превращен в универсальный зал-
45	балка	1		93-98	просторном гулком плохо освещенном здании уже вовсю снуют строители, лежат огромные железные балки, слышны удары инструментов и скрежет машины для сварки. Маэстро даже немного растерялся,
46	балка	1		80-86	закрутились, свились в сизом и черном дыму, устремляясь на потолок, к смолистым балкам истопки. Она уже задыхалась от дыма и плотнее прижалась к прохладному земляному
47	балка	1		85-90,121-126	долл. Американцы же любят вспоминать уже ставшую легендой в авиационных кругах «нашу балку»: с этого года все поперечные балки – основа для шасси – для самолетов семейства
48	балка	1		103-108	свободно делать перепланировку, переставляя перегородки внутри квартир. Но при этом нельзя затрагивать балки каркаса, расположенные под потолком, и колонны (см. схемы). СЕРИЯ: 1-335 (
