context_id	word	gold_sense_id	predict_sense_id	positions	context
1	дисциплина	2	1	40-48	и педагогика развития детей (12 учебных дисциплин);
2	дисциплина	1	2	88-97	положительно сказалось на организации учебного процесса, профилактике нарушений учебной дисциплины, правонарушений. Введение и содержание дежурных осуществляется за счет родителей
3	дисциплина	2	1	82-90	теоретического обучения состоит из дисциплин федерального компонента (в том числе дисциплин по выбору студента), дисциплин национально-регионального (регионального) компонента
4	дисциплина	1	2	80-89	необходимо учитывать особенности российской экономики: низкий уровень налоговой дисциплины, собираемости налогов, неравномерность распределения налогового бремени между предприятием
5	дисциплина	2	1	54-62	города с учетом специализации по курсу специальности. дисциплин ведется с использованием современных информационных технологий, цель которого -
6	дисциплина	2	1	84-92	рамках заданной программы. Учитывая сказанное, в практике преподавания строительных дисциплин более широко используют только программированный контроль знаний.
7	дисциплина	2	1	44-52	Факультет гуманитарных и естественнонаучных дисциплин</p><p>
8	дисциплина	1	5	81-90	, узнать, что особенности Вашей валюты наизнанку и в процессе развивают торговую дисциплину. По длинному пробегу Вы будете качать разногласия успеха в вашу пользу.
9	дисциплина	2	1	41-49	жизнедеятельности и медико-биологических дисциплин</p><p>
10	дисциплина	2	1	82-91	повышение квалификации. Список программ, специальности, формы обучения, изучаемые дисциплины, преподаватели. Прайс-лист, контакты. Международный Гуманитарно-Лингвистический
11	дисциплина	2	1	80-89	образования, или они изучались в другом образовательном учреждении, или учебные дисциплины основной и дополнительной программ закреплены за разными кафедрами, даже в пределах
12	дисциплина	2	1	82-90	по специальности 350700 - Реклама, 350400 - Связи с общественностью, при изучении дисциплин 'Рекламные коммуникации', 'Реклама в коммуникационном процессе'. Книга может быть
13	дисциплина	1	5	81-90	неоднократного обращения к взрослому обундсмену Лукину имею. Показная формальная дисциплина в работе этого департамента есть. Реакции и изменений на местах — ноль. Вся работа
14	дисциплина	2	1	47-57	конкурса будут проведены на закрытии выставки. дисциплинам лингвистического и методического циклов по английскому языку на англо-немецком
15	дисциплина	2	4	81-91	словаря иностранных слов, то следует подчеркнуть, что астрология стала считаться дисциплиной о сверхъестественных и таинственных силах лишь в эпоху Нового времени, когда астрологическим
16	дисциплина	2	3	87-96	которое доставляет удовольствие каждому из нас – гонкам. У каждого из нас есть любимая дисциплина – ралли, кросс, ралли-кросс, ралли-рейды, картинг, кольцо. И хочется, чтобы она
17	дисциплина	1	2	80-89	свыше 4 млн административных правонарушений. Что касается нарушителей служебной дисциплины, то заверяю, что руководители милиции общественной безопасности на всех уровнях
