context_id	word	gold_sense_id	predict_sense_id	positions	context
1	альбом	2	2	88-94	достаточно лишь колесиком мышки крутить вниз. И если вы захотите увеличить фотографию в альбоме, то все следующие фотографии будут также отображаться в полноразмерном варианте
2	альбом	3	1	85-91	выступал в составе команды с таким названием, однако тогда бэнд не записал ни одного альбома. В прошлом году Плант снова собрал коллектив Band of Joy и записал с этими музыкантами
3	альбом	2	3	81-87	. Работает так себе, поскольку функция заточена под банальные фотки из семейного альбома, а-ля «я и Эйфелева башня», где люди стоят анфас в центре кадра и смотрят в камеру
4	альбом	3	1	84-89	одержала победу в двух из пяти номинаций: 'Лучший танцевальный хит' и “Танцевальный альбом года'. В марте 2010 года певица объявила, что начала работать над своим новым студийным
5	альбом	3	2	83-88	встречи с Божественным. Вы испытаете ни с чем не сравнимое блаженство, слушая этот альбом во время занятий йогой или принимая сеанс массажа. Эк...
6	альбом	3	1	78-83	сборнике клуба «Грибоедов», С-Пб) Бонус: клип на песню «Яман» (в формате mpeg)Альбом «Месяц Улыбок» будет выпущен 2 октября компанией CDLand.
7	альбом	2	3	85-92	создания фотоколлажей Wondershare Photo Collage Studio 4.2.13: - Создание коллажей и альбомов из своих фотографий - Десятки шаблонов для коллажей - Дизайны для нескольких страниц
8	альбом	3	2	83-89	слушает «Пикник»(и еще Арию,про др. группы- не знаю)Причем,у него есть и последние альбомы «Пикника»,хоть он давно уже ушел от цивилизации.Он просил своих гостей и «пациентов
9	альбом	2	1	67-73	вечера. Богемные, литературные, творческие тусовки. Декабрь, 2009. альбоме размещены фото тусовок и встреч - помимо тусовок в ЦДЛ Москвы, и помимо творческих
10	альбом	3	1	90-97	гастрольную деятельность под псевдонимом «Трофим». С этого момента было выпущено более 10 альбомов, среди которых «Аристократия помойки», «Бард-авангард», «Война и мир», «Я скучаю
11	альбом	3	2	82-88	внутренняя свобода и спокойствие - все это темы песен абсолютно нового студийного альбома Stillife 'Destiny', о котором и рассказали нам участники группы...
12	альбом	2	3	84-89	Прошла конфетно-букетная влюбленность, свадебный фотограф уже передал вам увесистый альбом с виньетками, и, как естественное продолжение свежесозданной «ячейки общества»,
13	альбом	3	1	96-101	театрализованного арт-готик-фолк-классик-рок-шоу, сказал А. Литовка. Сейчас записывается первый альбом группы «Пути».
14	альбом	3	2	9-14	Капюшона альбом молодой и не очень известной группы, так как читатель ожидает не только (и не столько
15	альбом	3	2	85-91	слушает и делится впечатлениями о 30-секундных превьюшках некоторых треков из нового альбома на нашем форуме — группа продолжает активно подогревать интерес фанатов к своему
16	альбом	3	1	83-90	стереотипов, естественная и гармоничная в своей простоте. С 1999 года Олег издал 6 альбомов; последний из них – «A2O», выпущенный в 2010 г. Помимо исполнительской деятельности
17	альбом	1	3	81-87	и уцелевших домов, деревенский прусский пейзаж. Пробовал что-то перерисовывать в альбомы.
18	альбом	3	1	40-47	1989 года и записал несколько студийных альбомов, концертник, неоднократно представлял композиции на сборниках, в том числе приняли
19	альбом	3	2	81-87	The Rest Of Us . Фронтмен группы Джон Резник в интервью рассказл о лирике нового альбома, что она описывает состояние тоски, уныния и неуверенности, когда эмоции берут
20	альбом	3	2	83-90	Мельница на этот раз преподнесла сразу кипу новостей. Все они связаны либо с новым альбомом Мельницы «Дикие Травы», либо с дочерью Хелависы Ниной, которая вместе с мамой стала
21	альбом	3	1	84-89	Панки Ми-доуза и Ферджи Фредериксена!) В ноябре 1984 одноименный с группой дебютный альбом увидел свет и к весне добрался в марте до 26-й строки, продержавшись в Топ40 семь
22	альбом	3	1	83-88	песнями. В итоге ее пригласили в Париж записывать с Nouvelle vague третий по счету альбом группы. В настоящее время, пройдя школу мировых гастролей и концертов в крупнейших
23	альбом	3	1	82-88	рассказывая о своей новой записи. Вчера состоялась премьера первого сингла нового альбома «Only Girl (In The World)» на нескольких американских радиостанциях. Этот трек
24	альбом	3	2	82-87	война ', но под другим именем - Лёд 9 ! Почему так, вы узнаете скачав и прослушав альбом.
25	альбом	3	2	84-89	японского – то милое и приятное. В нашем случае – яркое, пестрое и разнообразное. В альбом вошло 13 песен и два видеотрекы как бонус – на песни «Радио твое» и «Не напишу»
26	альбом	2	3	49-54	Расула дети находят ответы на жизненные вопросы. альбом «Р.Гамзатов в творчестве детей», подготовленный в рамках международного проекта
27	альбом	3	2	80-85	рэперами Череповца. Тогда вышел «Город джунглей» Bad Balance - это их последний альбом в оригинальном составе, с Михеем. Я знаю, что хип-хоп всех прет! Стас Хитрый –
28	альбом	3	3	83-89	превратился в вечнозеленый листок. Времена года: Фантазия на музыку Чайковского из альбома «Времена года». В изобразительном решении использваны кружева и вятская игрушка
29	альбом	2	2	81-86	я была в синем? И не понимают, что художественное произведение - это не семейный альбом, что невозможно один к одному перенести на бумагу реальную историю, даже в документальном
30	альбом	2	1	86-92	празднования 350–летия вхождения республики в состав России. Оформлением и структурой альбома займется победитель конкурса, организованного администрацией президента и правительства
31	альбом	3	1	40-45	группа выпустила долгожданный четвёртый альбом, который оказался ещё мощнее, ещё красивее предыдущих! Отыграв несколько концертов
32	альбом	2	3	87-92	канатка в парке Альбом: Грузия Вокзал 'Боржоми Парк' Альбом: Грузия Альбом: Грузия ... Альбом: Грузия В Боржоми есть узкоколейка. Read more
33	альбом	2	3	85-92	создания открыток, календарей, художественных эффектов да композиций, слайд-шоу, веб альбомов, да даже если компьютерных игр.
34	альбом	2	3	82-87	для жителей Денвера и штата Колорадо. Происшествия, новости, прогноз погоды, фото альбом.
35	альбом	3	1	85-90	только в 2002 году собрал из старых песен «The Best» «Ну вот и дома». Позже выпустил альбом «Рублевское шоссе», а последний - «Дембеля» в феврале 2005г. Сегодня все мое творчество
36	альбом	2	3	81-86	предметы, и наклеивайте их в специальный альбом для вырезок (рассматривайте этот альбом вместе и помогайте ему показывать на картинки, когда Вы называете предмет)
37	альбом	3	2	82-87	пожалуй, более известен на Западе, чем на Родине. Сейчас 'Виды Рыб' готовят новый альбом, посвященный карго-культу в России. Они практически не выступают в клубах и на
38	альбом	3	2	41-48	Pere-Lachaise: там поболтать есть с кем! альбомом у вас поменялось звучание. Что на это повлияло? Бу: Повлиял Александр Карелин.
39	альбом	3	2	86-92	развлечений». Они рассказали, что собираются порадовать поклонников свежими треками с альбома «Кундалини», и ответили на вопросы студентов и представителей СМИ о жизни коллектива
40	альбом	3	1	41-47	, что работает над материалом для нового альбома своей основной группы Bad Seeds. К слову, еще один проект Кейва, Grinderman, выпустит
41	альбом	3	1	81-87	сингл под названием Pass At Me . Песня является первой ласточкой с его грядущего альбома Shock Value часть III , и этой пластинки с нетерпением и интересом ожидают миллионы
42	альбом	2	3	41-47	с целью подготовки уникального издания – альбома, посвященного русским иконам, утвари и церковным одеяниям, хранящимся на Синае.
43	альбом	2	2	85-91	подходящее для своего авто. Довольно длительное время приходится смотреть каталоги и альбомы с фотографиями, но стандартные изображения почти не выбирают. А если даже и пал
44	альбом	2	2	82-89	Кто не завидовал друзьям, вернувшихся с юга отдохнувшими, загорелыми, с громадным альбомом фотографий, на некоторых из которых «они в грязюке с головы до пят»? Талассотерапия
45	альбом	3	1	83-88	Дискотеки Аварии 'Небо' и сборник песен Николая Баскова 'Лучшие хиты 2003',а также альбом Цыгановой Вики-”Ангел мой”(1994 год)? Спасибо
46	альбом	3	1	87-94	известных групп и исполнителей, тогда как раньше ему приходилось покупать диск с целым альбомом',— говорит Дмитрий Коннов. В результате продажи дисков во всем мире стали резко
47	альбом	3	2	80-86	и во многом их уровень подготовки и профессионализма стал решающим для качества альбома в целом. Они большие молодцы!”
48	альбом	3	1	40-46	«Барто» выступили с презентацией нового альбома «Ум, совесть и честь», собрав практически полный танцпол своих фанатов, меломанов
49	альбом	3	1	84-89	группы. Все участники группы из Compton и South Central , Los Angeles . По продажам альбом достиг лишь 19-й строчки в чарте Billboard Top Christian Albums и в общей сложности
50	альбом	3	1	82-87	песню. На этом эксперименты не закончились, и уже в следующем году Юлия выпустила альбом «Человек-Птица», который критики называли одним из самых концептуальных музыкальных
51	альбом	3	1	84-90	выдвигавшегося на премию Гремми. Джо и его группа в качестве акции поддержки нового альбома собираются совершить турне по Северной Америке, которое откроется 11 марта концертом
52	альбом	3	2	80-86	концертах те песни, которые действительно обо мне. Естественно, многие песни из альбома «Трудный возраст» - это просто выдуманные истории, но есть и песни, которые я писала
53	альбом	3	3	58-64	души, но как попало» -- главная формула родного искусства альбома «Награ» флагманов русского этнорока группы «Иван Купала» третий месяц горячо ротируются
54	альбом	3	1	82-88	года Сколько треков: 13 Время звучания: 86 минут Качество музыки: 320 кбит Размер альбома: 187 Мб
55	альбом	3	2	57-62	обзор, который ставит больше вопросов, чем даёт ответов. альбом Дивайн Комеди, который я скачал непонятно где за целый месяц до его выпуска на
56	альбом	3	1	80-85	компакт диска Павла Кашина: 'По волшебной реке' и 'По небесным грядкам'. 1996 - альбом 'Жизнь' 1997 - альбом 'Подсолнух' сентябрь 1997 - Паша Кашин уехал жить в США 1998
57	альбом	3	2	81-87	и заблудился в этом звуколесе до трех ночи. Про 'Liars' я знал только то, что их альбомы выходят на Mute, экспериментальном 'звездном' лондонском лейбле, под крылом которого
58	альбом	2	3	85-91	статуса альбомов используется стандартный вызов Drupal API (hook_cron). При удалении альбома пользователя с Picasa серия фотографий депубликуется. Синхронизации комментариев
