context_id	word	gold_sense_id	predict_sense_id	positions	context
1	альбом	2		203-209	Марина откинула одеяло опустила ноги в огромные тигровые тапочки и натянула на себя махровый халат украденный в позапрошлом году в одной из лучших гостиниц города . Рядом с кроватью были стопкой сложены альбомы по искусству два месяца назад когда у нее заканчивался токсикоз Марина всерьез собиралась стать искусствоведом . На книгах стоял стакан с молоком
2	альбом	2		275-280	Романтизм в России дает возможность говорить не столько о русском романтизме сколько о том как его видит советское искусствознание и незаменимым источником является каталог . Пухлые каталоги для сегодняшних выставок норма но тут перед нами не сборник содержательных статей а альбом . Имелось в виду очевидно воспроизвести альбом XIX века
3	альбом	1		74-80	Твой папа Лиза знал меня еще маленькой девочкой . Пойди Лиза достань твои альбомы . Марья Петровна и Акантов остались вдвоем
4	альбом	3		210-216	В первом отделении по одной песне споют гости Анастасия Катя Семенова Александр Шаганов Евгений Кемеровский Крис Кельми Женя Белоусов Наталья Гулькина . Во втором можно будет услышать почти все песни из нового альбома Сергея Чумакова Как в первый раз Под луной Колыбельная Марина Песня без слов Полночный блюз а также знаменитые От весны до весны Троллейбус кольцевой . Новая программа Чумакова это свинг твист шейк
5	альбом	2		177-182	В парижской квартире Сен-Лорана рядом с Матиссом и Пикассо среди античных бюстов и негритянских скульптур на инкрустированном музейном столике лежал несколько лет и драгоценный альбом Сергея Параджанова . Недавно во время пожара в квартире огонь уничтожил альбом но к счастью друзья в Тбилиси в свое время успели сфотографировать все работы . Встреча-невстреча с Эйзенштейном
6	альбом	2		174-180	К тому ж всю обработку лебедевских снимков вела фотолаборатория ЦК а сам Лебедев в служебное время только рассматривал сортировал и раскладывал негативы и карточки . В одном альбоме на фоне тех же книжных полок где он только-что отснял меня улыбались Шолохов и Михалков . Были места и для меня
7	альбом	2		45-51	Обедали вчетвером . Рассматривали фотографич альбомы в моем новом кабинете . 17 го ноября
8	альбом	2		72-77	Уманский ожил и даже встал но только он взял тяжелый роскошный немецкий альбом в руки как тут же сам опять рухнул на стул . Но сообразил вновь встал оставив теперь альбом лежать на столе . Речь подсказали ему
9	альбом	3		89-95	Теперь Илюха поёт свои песни на стадионах и ведёт шоу на телевидении . А три мои сольных альбома разошлись общим тиражом в двадцать копий на магнитофонных кассетах . Не так давно он приходил ко мне ещё раз
10	альбом	2		31-36	Как домой . Поэтому Грузинский альбом уже не храм а его развалины . Потому каждая грузинская глава чередуется с русской
11	альбом	2		128-133	м более что еще не закончила Кахрие-Джами . Но вот что важно мой англичанин не только нашелся но предложил мне издать в Лондоне альбом моих зарисовок . Это конечно журавль в небе но ведь без надежды не проживешь
12	альбом	2		115-120	Сейчас подслушают опишут и смотришь наутро со всей своей фамилией в газету влетел . Ну что за радость ежели эдакий альбом про вас у нас в Рыбинске прочтут . Вон он сочинитель-то в углу стоит и смотрит
13	альбом	2		47-52	Забрал он письма разберем про вашего Кривого . Альбом был у Луши с карточками . Смотреть
14	альбом	3		46-54	Кайфоухость 8 звезд . В этом году с отличными альбомами уже всплыло достаточное количество легендарных динозавров и вот вам нате даже монстры из монстров Iron Maiden отметились . Уж после них кого еще ожидать-то
15	альбом	1		75-81	Michel saluez donc monsieur et mettez tout cela de cote . Что это у вас ах альбомы рисунки произведения вашей музы . Я заранее без ума от них покажите покажите ради бога
16	альбом	1		110-116	Обязанность историка по клочкам по жалким остаткам восстановить сделанное ими . Перед нами два кожаных черных альбома с золотою надписью на каждом птички . Они хранятся в Москве у внучек иркутского купца Василия Николаевича Баснина собравшего замечательную библиотеку великолепную коллекцию гравюр и гербарий
17	альбом	2		46-51	В Нью-Йорке пару месяцев . Хочешь покажу свой альбом . Издан в Париже
18	альбом	1		193-198	Жюли была особенно ласкова к Борису жалела о его раннем разочаровании в жизни предлагала ему те утешения дружбы которые она могла предложить сама так много пострадав в жизни и открыла ему свой альбом . Борис нарисовал ей в альбом два дерева и написал Arbres rustiques vos sombres rameaux secouent sur moi les tenebres et la melancolie . В другом месте он нарисовал гробницу и написал
19	альбом	1		160-166	Мне нужно время чтобы посмотреть на них издалека понять пожалеть и простить . Поэтому я растягиваю для себя это время торможу его стирая мысленно их портреты в альбоме детских воспоминаний давая им возможность проявиться заново . Я понимаю что здесь и сейчас времени на это не хватит что это слишком долгая работа которую не проделать за несколько минут
