context_id	word	gold_sense_id	predict_sense_id	positions	context
1	замок	1		82-86	живет самое большое в мире привидение. Немало туристов привлекают и средневековые замки на Рейне, которые позиционируются как официальные резиденции призраков. Есть в
2	замок	1		85-89	веков. Приглашаем Вас провести Вашу свадьбу в Чехии в средневековом стиле. Старинный замок Локет - наилучшее место для Вашей исторической свадьбы. Замок Локет, ведущий свою
3	замок	1		81-85	Интересная комбинированная экскурсия, которая позволит Вам увидеть два старинных замка Шотландии: Замок Абботсфорд (The Abbotsford Castle), родовое поместье сэра Вальтера
4	замок	1		90-94	англичанином Эдуардом Блором, дворец с запада напоминает мрачный средневековый феодальный замок, с севера близок к английскому тюдоровскому стилю. Южный фасад имеет еще более
5	замок	1		82-86	честь своего создателя лорда Крумлова из рода Витковичей. Монументальный комплекс замка Чески Крумлов, как его называют местные жители, расположен на продолговатом скалистом
6	замок	1		82-86	на континенте», но речь идет о самом крупном из Британских островов. Как такового замка нет, зато живописные руины позволяют разгуляться фантазии и дарят фотографам интересные
7	замок	1		87-91	Pernstejn) выглядят именно так, как большинство из нас представляет себе средневековый замок. Благодаря этому она является одним из самых популярных туристических объектов
8	замок	1		86-90	Землевладение создало дворянство. Рыцарь-разбойник, который захватывал землю и строил замок, становился благородным лордом, сеньором, который пользовался всеобщим уважением
9	замок	1		84-88	принадлежит не тебе (ведь ты таак любишь и понимаешь футбол… Почему яхты/самолетыи/ замки/островадворцы/красавицы и красавцы /сокр овища… не твои, а их?! Почему все что
10	замок	1		87-91	погасли все огни, и замок погрузился во мрак. Крики, стоны людей, страх и ужас окутали замок плотной пеленой. Что случилось? Что произошло?- отовсюду слышались возгласы людей
11	замок	1		85-89	приехать в этот загадочный Невицкий замок - замок «невест»). Экскурсия в Ужгородский замок (Каменная летопись города) , музей архитектуры и быта под открытым небом (рассказывает
12	замок	1		82-86	холмы и далекие башни Спишской Капитулы * . Над городком возвышались руины белого замка. Он был такой большой и белый, что казался каким-то метеорологическим курьезом,
13	замок	1		88-92	французском, английской, немецком и датском языках. Видимо, русские редкие гости в этом замке, поэтому необходимости в гид-туре для наших соотечественников пока нет. За достаточно
14	замок	1		85-90	бизнеса составление долгосрочных бюджетов чаще всего сродни строительству «воздушных замков». Лучше этим не заниматься и с точки зрения экономии денежных средств, и просто
15	замок	1		87-91	регионов Франции. Еще со времен Столетней войны здесь сохранились укрепленные города и замки, отличающиеся красотой, гармонично связанной с природой. На юго-востоке региона
16	замок	1		80-84	Росток. Трансильвания, обиталище графа Орлока, снималась в Словакии. В качестве замка вампира при съемках исп
17	замок	1		92-96	средневекового замка, но от остановки их не видно (они расположены за лесом), я сам узнал о замке уже после того, как побывал в Базеле, так что не знаю, заслуживает ли он посещения
18	замок	1		34-38	посвящена эпохе этого императора) замок с богатейшей коллекцией средневекового оружия и охотничьих трофеев. Изначально
19	замок	1		83-87	вполне оправившийся от недавнего потрясения, и вестником счастья помчался в Лесной Замок. -- А, вот вы где, -- сказал он, входя в сад. -- Я звоню, звоню, и никакого ответа
20	замок	1		89-93	рыцарский замок для романтичных натур, когда банкетный зал превращается в парадные покои замка, где горят факелы, а столы уже ломятся от свежеприготовленной дичи. Японский ресторан
21	замок	1		82-86	Вары и который находится неподалеку от бывшей королевской охотничьей резиденции – замка Локет.
22	замок	1		82-86	доверенных лиц, министров… Начало череде неизбежных жертв положено в Михайловском замке в кровавую ночь с 11 на 12 марта 1801 года. Никогда и нигде не скрыться ему от
23	замок	1		47-51	появилось множество мифов связанных с замками: замке Карлштейн посвящен слепому музыканту. Легенда гласит, что этот музыкант обычно
24	замок	1		80-84	72 места, «Центральный» на 64 места, «Уральский» на 84 места, спальные корпуса «Замок», «Россия», «Губернский» с оборудованием номеров типа «апартаменты». В 2000 году
25	замок	1		72-76	появляется что то неизвестное и это неизвестное отрыл, грубо говоря, ты.Замок стоит на горе Сипатория (если я правильно запомнила название) и ведет к нему очень
26	замок	1		81-86	еще не чувствовал злобы; просто это была обычная методика допроса. - Кто владеет замком? - так же спокойно повторил он. - Не знаю! Майор снова ударил его. - КТО?! На этот
27	замок	1		86-90	история или таинственная легенда. Выстраивая маршрут своего путешествия, выбирайте те замки, которые покажутся вам наиболее интересными, но не забывайте, что некоторые из
28	замок	1		82-86	стежка вьется над пропастью. Духом взбираюсь вверх. Развалины двух церквей, бань, замка с бойницами, к северу оттудова ворота, много резной работы... В Гергеры, вдоль
29	замок	1		41-45	ответ, и, ускорив шаг, она устремилась к замку тем же путем, каким пришла.
30	замок	1		42-46	моей остановкой стал древний Эдинбургский замок, в котором короновались все шотландские правители. Когда-то это была резиденция
