context_id	word	gold_sense_id	predict_sense_id	positions	context
1	дар	1		18-21	Отвергнуть щедрый дар
2	дар	1		21-27	покупать преданность дарами и наградами
3	дар	1		19-22	Вот яд – последний дар моей Изоры
4	дар	1		81-86	Основная функция корильных песен – повеселить участников свадьбы и побудить их к дарам
5	дар	1		151-156	Но недели две спустя (Алевтина его когда-то об этом просила) он отправляет ей с рабочими изящный шкафчик, счет, конечно, приложен – никаких, извините, даров
6	дар	1		95-98	Мать Ревекки приберегала кусок и на праздник пекла для калеки любимое блюдо, сияя от гордости: дар беднейшему – бедных богатство
7	дар	1		205-209	Время от времени Лидия Михайловна «доставала» нам – то штаны, то пресловутый шкаф. Мне не хотелось чувствовать себя у нее в долгу, но надо было быть благодарным: все это и вправду было нам нужно, хотя все дары мне делались без спросу
8	дар	1		80-83	Недавно приезжавший в Оргеев посол РФ в Молдавии Павел Петровский передал школе дар правительства Москвы – учебники
9	дар	2.1		18-21	Жизнь – бесценный дар
10	дар	2.1		25-28	Такая любовь – настоящий дар судьбы
11	дар	2.1		18-22	Неисчислимы Божии дары
12	дар	2.1		0-3,15-18	Дар напрасный, дар случайный, / Жизнь, зачем ты мне дана?
13	дар	2.1		70-74	Господа, – воскликнул я вдруг от всего сердца, – посмотрите кругом на дары Божии: небо ясное, воздух чистый, травка нежная
14	дар	2.1		82-86	Слишком многого она ожидала, слишком многого требовала от жизни, которая скупа на дары
15	дар	2.1		67-70	То, что выглядит как наша жертва Ему, в высшей реальности есть Его дар нам
16	дар	2.1		36-39	Смерть любимых, дорогих людей – это дар, который помогает понять то важное, для чего мы здесь
17	дар	2.1		112-115,31-34	Пенсия – это просто счастливый дар судьбы, – продолжал Сергей Николаевич, нимало не понимая, что это никакой не дар, а просто заработанное им расчетливо утаено государством
18	дар	2.1		81-87	С каждым годом множилось число тех, кто любил пострелять и попользоваться дичью, дарами природы к почти голодному столу
19	дар	2.1		36-40	Труд тысяч и тысяч мастеров, лучшие дары земли, стояли, лежали и висели перед ним
20	дар	2.1		103-107	Так наш завтрак еще в Лагуне? – В этом вся прелесть! – воскликнула Наташа. – Прямо из воды – свежайшие дары моря!
21	дар	2.1		43-48	В те времена охота, рыболовство, собирание даров леса, в том числе и грибов, было не забавой […], но бытом, повседневностью, жизнью
22	дар	2.1		0-4	Дары тайги выменивались на продукты морского промысла
23	дар	2.1		91-96	Один за другим беспрерывно шлепаются в лодку золотистые караси. […] Прохор привык к щедрым дарам Угрюм-реки и не удивляется
24	дар	2.3		0-3	Дар оратора
25	дар	2.3		20-23	У нее с детства был дар передразнивать знакомых
26	дар	2.3		128-131	Писатель не творит ее [литературу], а как бы исполняет, улавливая сигналы. Чувствительность к такого рода сигналам и есть Божий дар
27	дар	2.3		71-76	Потому-то он и оказался не сломленным до конца своих дней, что обладал даром хороших крестьян и больших художников – извлекать удовольствие из самой работы, а не ждать ее часто обманчивых плодов
28	дар	2.3		82-85	Так, начиная с этого дня, открылся у Павла Алексеевича этот странный, но полезный дар. Он называл его про себя «внутривидением»
29	дар	2.3		55-60	Считалось, что Андрей Иванович обладает необыкновенным даром «выведывать мысли»
30	дар	2.3		8-11	Ученому дар рассказчика, казалось бы, без нужды, а у него он каким-то образом входил в его научный талант
31	дар	2.3		15-19,37-42	Когда выносили дары и их подводили к дарам, тотчас «беснование» прекращалось и больные […] успокаивались
32	дар	2.3		104-110	В конце была приписка, что священник приехал, исповедовал больную глухою исповедью и приобщил запасными дарами
33	дар	2.3		128-132,55-61	Он предупредил меня, что мы заедем в костел за святыми дарами для причащения умирающего и что с человеком, который везет святые дары, нельзя разговаривать
34	дар	2.3		46-51	Как я могу служить обедню? У меня ведь нет ни даров, ни епитрахили
35	дар	2.3		55-61	Поднимешь глаза – на амвоне стоит священник со святыми Дарами, и чудится, скорбный свет идет от чаши
36	дар	2.3		127-133	Джованни хотелось, чтобы с ним повторилось чудо, о котором говорил Савонарола, – чтобы огненные лучи, выйдя из чаши со Святыми Дарами, выжгли в теле его, как раскаленное железо, крестные раны
37	двигатель	1		0-9	Двигатель взревел, и машина резко рванулась с места
38	двигатель	1		10-19	Если один двигатель откажет, остальные дотянут самолет до места посадки
39	двигатель	1		56-65	Страховать придется все транспортные средства с объемом двигателя более 50 куб. см
40	двигатель	1		38-47	Мы шли очень медленно, потому что наш двигатель работал лишь в четверть силы
