context_id	word	gold_sense_id	predict_sense_id	positions	context
87	дар	1	3	18-22	Отвергнуть щедрый дар
88	дар	1	3	21-28	покупать преданность дарами и наградами
89	дар	1	3	19-23	Вот яд – последний дар моей Изоры
90	дар	1	4	81-87	Основная функция корильных песен – повеселить участников свадьбы и побудить их к дарам
91	дар	1	1	151-157	Но недели две спустя (Алевтина его когда-то об этом просила) он отправляет ей с рабочими изящный шкафчик, счет, конечно, приложен – никаких, извините, даров
92	дар	1	3	95-99	Мать Ревекки приберегала кусок и на праздник пекла для калеки любимое блюдо, сияя от гордости: дар беднейшему – бедных богатство
93	дар	1	1	205-210	Время от времени Лидия Михайловна «доставала» нам – то штаны, то пресловутый шкаф. Мне не хотелось чувствовать себя у нее в долгу, но надо было быть благодарным: все это и вправду было нам нужно, хотя все дары мне делались без спросу
94	дар	1	4	80-84	Недавно приезжавший в Оргеев посол РФ в Молдавии Павел Петровский передал школе дар правительства Москвы – учебники
95	дар	2.1	2	18-22	Жизнь – бесценный дар
96	дар	2.1	2	25-29	Такая любовь – настоящий дар судьбы
97	дар	2.1	3	18-23	Неисчислимы Божии дары
98	дар	2.1	3	0-4,15-19	Дар напрасный, дар случайный, / Жизнь, зачем ты мне дана?
99	дар	2.1	3	70-75	Господа, – воскликнул я вдруг от всего сердца, – посмотрите кругом на дары Божии: небо ясное, воздух чистый, травка нежная
100	дар	2.1	2	82-87	Слишком многого она ожидала, слишком многого требовала от жизни, которая скупа на дары
101	дар	2.1	3	67-71	То, что выглядит как наша жертва Ему, в высшей реальности есть Его дар нам
102	дар	2.1	2	36-40	Смерть любимых, дорогих людей – это дар, который помогает понять то важное, для чего мы здесь
103	дар	2.1	2	31-35,112-116	Пенсия – это просто счастливый дар судьбы, – продолжал Сергей Николаевич, нимало не понимая, что это никакой не дар, а просто заработанное им расчетливо утаено государством
104	дар	2.1	3	81-88	С каждым годом множилось число тех, кто любил пострелять и попользоваться дичью, дарами природы к почти голодному столу
105	дар	2.1	3	36-41	Труд тысяч и тысяч мастеров, лучшие дары земли, стояли, лежали и висели перед ним
106	дар	2.1	3	103-108	Так наш завтрак еще в Лагуне? – В этом вся прелесть! – воскликнула Наташа. – Прямо из воды – свежайшие дары моря!
107	дар	2.1	4	43-49	В те времена охота, рыболовство, собирание даров леса, в том числе и грибов, было не забавой […], но бытом, повседневностью, жизнью
108	дар	2.1	4	0-5	Дары тайги выменивались на продукты морского промысла
109	дар	2.1	3	91-97	Один за другим беспрерывно шлепаются в лодку золотистые караси. […] Прохор привык к щедрым дарам Угрюм-реки и не удивляется
110	дар	2.3	2	0-4	Дар оратора
111	дар	2.3	2	20-24	У нее с детства был дар передразнивать знакомых
112	дар	2.3	2	128-132	Писатель не творит ее [литературу], а как бы исполняет, улавливая сигналы. Чувствительность к такого рода сигналам и есть Божий дар
113	дар	2.3	2	71-77	Потому-то он и оказался не сломленным до конца своих дней, что обладал даром хороших крестьян и больших художников – извлекать удовольствие из самой работы, а не ждать ее часто обманчивых плодов
114	дар	2.3	2	82-86	Так, начиная с этого дня, открылся у Павла Алексеевича этот странный, но полезный дар. Он называл его про себя «внутривидением»
115	дар	2.3	2	55-61	Считалось, что Андрей Иванович обладает необыкновенным даром «выведывать мысли»
116	дар	2.3	2	8-12	Ученому дар рассказчика, казалось бы, без нужды, а у него он каким-то образом входил в его научный талант
117	дар	2.3	1	15-20,37-43	Когда выносили дары и их подводили к дарам, тотчас «беснование» прекращалось и больные […] успокаивались
118	дар	2.3	3	104-111	В конце была приписка, что священник приехал, исповедовал больную глухою исповедью и приобщил запасными дарами
119	дар	2.3	3	55-62,128-133	Он предупредил меня, что мы заедем в костел за святыми дарами для причащения умирающего и что с человеком, который везет святые дары, нельзя разговаривать
120	дар	2.3	3	46-52	Как я могу служить обедню? У меня ведь нет ни даров, ни епитрахили
121	дар	2.3	3	55-62	Поднимешь глаза – на амвоне стоит священник со святыми Дарами, и чудится, скорбный свет идет от чаши
122	дар	2.3	3	127-134	Джованни хотелось, чтобы с ним повторилось чудо, о котором говорил Савонарола, – чтобы огненные лучи, выйдя из чаши со Святыми Дарами, выжгли в теле его, как раскаленное железо, крестные раны
143	двигатель	1	2	0-10	Двигатель взревел, и машина резко рванулась с места
144	двигатель	1	2	10-20	Если один двигатель откажет, остальные дотянут самолет до места посадки
145	двигатель	1	3	56-66	Страховать придется все транспортные средства с объемом двигателя более 50 куб. см
146	двигатель	1	2	38-48	Мы шли очень медленно, потому что наш двигатель работал лишь в четверть силы
147	двигатель	1	2	27-38	По тому, как изменился рев двигателей, я догадался, что заработала вторая ступень
